timestamp,tariff,grid_kw,battery_kw,soc_new,mode
2025-10-28 19:00:00+05:30,7.5,0.0,0.8421052631578948,0.23762183235867446,discharge
2025-10-28 20:00:00+05:30,7.5,0.0,0.8421052631578948,0.17524366471734892,discharge
2025-10-28 21:00:00+05:30,7.5,0.0,0.8421052631578948,0.11286549707602339,discharge
2025-10-28 22:00:00+05:30,7.5,0.0,0.8421052631578948,0.05048732943469785,discharge
2025-10-28 23:00:00+05:30,7.5,0.1525000000000002,0.681578947368421,0.0,discharge
2025-10-29 00:00:00+05:30,5.0,5.8,-5.0,0.35185185185185186,charge
2025-10-29 01:00:00+05:30,5.0,5.8,-5.0,0.7037037037037037,charge
2025-10-29 02:00:00+05:30,5.0,4.8,-4.0,0.9851851851851852,charge
2025-10-29 03:00:00+05:30,5.0,1.0000000000000004,-0.2000000000000003,0.9992592592592593,charge
2025-10-29 04:00:00+05:30,4.5,0.8099999999999996,-0.009999999999999565,0.9999629629629629,charge
2025-10-29 05:00:00+05:30,4.5,0.8005000000000003,-0.000500000000000278,0.9999981481481481,charge
2025-10-29 06:00:00+05:30,6.0,0.8000250000000002,-2.500000000016378e-05,0.9999999074074074,charge
2025-10-29 07:00:00+05:30,6.0,0.80000125,-1.250000000008189e-06,0.9999999953703703,charge
2025-10-29 08:00:00+05:30,6.0,0.8000000625000008,-6.250000067486994e-08,0.9999999997685185,charge
2025-10-29 09:00:00+05:30,6.0,0.8000000031250003,-3.1250002585636594e-09,0.9999999999884259,charge
2025-10-29 10:00:00+05:30,6.0,0.8000000001562501,-1.5625001292818297e-10,0.9999999999994214,charge
2025-10-29 11:00:00+05:30,6.0,0.8000000000078118,-7.811751245867526e-12,0.999999999999971,charge
2025-10-29 12:00:00+05:30,6.5,0.0,0.8421052631578948,0.9376218323586455,discharge
2025-10-29 13:00:00+05:30,6.5,0.0,0.8421052631578948,0.87524366471732,discharge
2025-10-29 14:00:00+05:30,6.5,0.0,0.8421052631578948,0.8128654970759944,discharge
2025-10-29 15:00:00+05:30,6.5,0.0,0.8421052631578948,0.7504873294346689,discharge
2025-10-29 18:00:00+05:30,7.5,0.0,0.8421052631578948,0.6881091617933434,discharge
2025-10-29 19:00:00+05:30,7.5,0.0,0.8421052631578948,0.6257309941520178,discharge
2025-10-29 20:00:00+05:30,7.5,0.0,0.8421052631578948,0.5633528265106923,discharge
2025-10-29 21:00:00+05:30,7.5,0.0,0.8421052631578948,0.5009746588693668,discharge
2025-10-29 22:00:00+05:30,7.5,0.0,0.8421052631578948,0.43859649122804123,discharge
2025-10-29 23:00:00+05:30,7.5,0.0,0.8421052631578948,0.3762183235867157,discharge
2025-10-30 00:00:00+05:30,5.0,5.8,-5.0,0.7280701754385676,charge
2025-10-30 01:00:00+05:30,5.0,4.471052631579338,-3.671052631579338,0.9864035087719284,charge
2025-10-30 02:00:00+05:30,5.0,0.9835526315789667,-0.18355263157896667,0.9993201754385964,charge
2025-10-30 03:00:00+05:30,5.0,0.8091776315789485,-0.009177631578948409,0.9999660087719299,charge
2025-10-30 04:00:00+05:30,4.5,0.8004588815789468,-0.00045888157894674597,0.9999983004385965,charge
2025-10-30 05:00:00+05:30,4.5,0.8000229440789473,-2.294407894726236e-05,0.9999999150219299,charge
2025-10-30 06:00:00+05:30,6.0,0.8000011472039469,-1.1472039468385375e-06,0.9999999957510965,charge
2025-10-30 07:00:00+05:30,6.0,0.8000000573601966,-5.7360196592526336e-08,0.9999999997875548,charge
2025-10-30 08:00:00+05:30,6.0,0.8000000028680099,-2.8680098296263168e-09,0.9999999999893777,charge
2025-10-30 09:00:00+05:30,6.0,0.8000000001434009,-1.434007912415325e-10,0.9999999999994689,charge
2025-10-30 10:00:00+05:30,6.0,0.8000000000071703,-7.170264382239111e-12,0.9999999999999735,charge
2025-10-30 11:00:00+05:30,6.0,0.8000000000003582,-3.5821345889530676e-13,0.9999999999999987,charge
2025-10-30 12:00:00+05:30,6.5,0.0,0.8421052631578948,0.9376218323586731,discharge
2025-10-30 13:00:00+05:30,6.5,0.0,0.8421052631578948,0.8752436647173476,discharge
2025-10-30 14:00:00+05:30,6.5,0.0,0.8421052631578948,0.8128654970760221,discharge
2025-10-30 15:00:00+05:30,6.5,0.0,0.8421052631578948,0.7504873294346965,discharge
2025-10-30 18:00:00+05:30,7.5,0.0,0.8421052631578948,0.688109161793371,discharge
2025-10-30 19:00:00+05:30,7.5,0.0,0.8421052631578948,0.6257309941520455,discharge
2025-10-30 20:00:00+05:30,7.5,0.0,0.8421052631578948,0.5633528265107199,discharge
2025-10-30 21:00:00+05:30,7.5,0.0,0.8421052631578948,0.5009746588693944,discharge
2025-10-30 22:00:00+05:30,7.5,0.0,0.8421052631578948,0.4385964912280689,discharge
2025-10-30 23:00:00+05:30,7.5,0.0,0.8421052631578948,0.37621832358674334,discharge
2025-10-31 00:00:00+05:30,5.0,5.8,-5.0,0.7280701754385952,charge
2025-10-31 01:00:00+05:30,5.0,4.4710526315789645,-3.6710526315789647,0.9864035087719297,charge
2025-10-31 02:00:00+05:30,5.0,0.9835526315789487,-0.1835526315789487,0.9993201754385965,charge
2025-10-31 03:00:00+05:30,5.0,0.809177631578947,-0.00917763157894691,0.9999660087719299,charge
2025-10-31 04:00:00+05:30,4.5,0.8004588815789468,-0.00045888157894674597,0.9999983004385965,charge
2025-10-31 05:00:00+05:30,4.5,0.8000229440789473,-2.294407894726236e-05,0.9999999150219299,charge
2025-10-31 06:00:00+05:30,6.0,0.8000011472039469,-1.1472039468385375e-06,0.9999999957510965,charge
